iter	Passed	Remaining
0	57	57163
1	113	56430
2	170	56816
3	228	57012
4	283	56416
5	338	56074
6	393	55853
7	452	56051
8	508	56026
9	564	55861
10	623	56025
11	678	55843
12	733	55727
13	788	55557
14	848	55732
15	902	55488
16	959	55500
17	1018	55581
18	1072	55399
19	1130	55414
20	1185	55272
21	1247	55449
22	1304	55426
23	1363	55467
24	1421	55423
25	1480	55466
26	1546	55714
27	1607	55818
28	1673	56026
29	1738	56196
30	1799	56246
31	1859	56246
32	1919	56260
33	1980	56266
34	2045	56389
35	2107	56423
36	2169	56465
37	2233	56530
38	2295	56558
39	2358	56611
40	2424	56704
41	2487	56738
42	2563	57059
43	2649	57558
44	2709	57500
45	2768	57417
46	2830	57395
47	2892	57376
48	2956	57380
49	3018	57347
50	3086	57428
51	3145	57337
52	3205	57273
53	3269	57281
54	3335	57315
55	3397	57275
56	3466	57356
57	3536	57442
58	3619	57728
59	3698	57943
60	3781	58210
61	3871	58567
62	3936	58541
63	3998	58481
64	4076	58642
65	4148	58709
66	4226	58858
67	4296	58890
68	4365	58900
69	4435	58931
70	4511	59024
71	4578	59011
72	4647	59017
73	4717	59028
74	4782	58978
75	4844	58894
76	4906	58820
77	4966	58704
78	5025	58592
79	5086	58495
80	5145	58374
81	5207	58301
82	5266	58181
83	5326	58081
84	5386	57979
85	5447	57895
86	5512	57844
87	5570	57733
88	5635	57687
89	5697	57612
90	5761	57551
91	5821	57454
92	5877	57321
93	5936	57221
94	5997	57137
95	6060	57070
96	6122	56994
97	6189	56971
98	6247	56855
99	6310	56792
100	6371	56710
101	6432	56633
102	6498	56594
103	6564	56555
104	6630	56517
105	6695	56466
106	6761	56433
107	6827	56391
108	6895	56367
109	6962	56336
110	7032	56320
111	7108	56356
112	7174	56314
113	7239	56266
114	7300	56183
115	7365	56131
116	7427	56059
117	7491	55995
118	7554	55927
119	7618	55870
120	7700	55941
121	7773	55944
122	7836	55874
123	7898	55796
124	7959	55719
125	8017	55615
126	8079	55538
127	8141	55463
128	8204	55393
129	8262	55294
130	8329	55253
131	8389	55169
132	8455	55117
133	8521	55071
134	8590	55040
135	8653	54976
136	8716	54908
137	8783	54863
138	8844	54785
139	8906	54709
140	8966	54622
141	9030	54561
142	9099	54532
143	9174	54540
144	9240	54484
145	9306	54438
146	9370	54376
147	9438	54333
148	9506	54297
149	9572	54244
150	9635	54178
151	9703	54133
152	9771	54095
153	9834	54028
154	9902	53981
155	9967	53927
156	10029	53854
157	10088	53762
158	10148	53678
159	10224	53680
160	10287	53608
161	10348	53531
162	10413	53473
163	10472	53385
164	10536	53321
165	10597	53241
166	10657	53158
167	10718	53079
168	10775	52985
169	10837	52913
170	10898	52834
171	10958	52754
172	11030	52730
173	11108	52732
174	11170	52661
175	11228	52570
176	11287	52485
177	11349	52410
178	11409	52328
179	11475	52278
180	11540	52217
181	11596	52119
182	11657	52043
183	11718	51969
184	11783	51911
185	11852	51870
186	11922	51833
187	11991	51791
188	12062	51761
189	12131	51718
190	12197	51663
191	12263	51609
192	12332	51566
193	12398	51509
194	12457	51425
195	12525	51378
196	12582	51287
197	12639	51196
198	12700	51122
199	12760	51042
200	12819	50957
201	12877	50872
202	12959	50882
203	13029	50840
204	13089	50761
205	13149	50683
206	13211	50613
207	13269	50526
208	13331	50454
209	13396	50395
210	13463	50342
211	13527	50281
212	13594	50229
213	13656	50160
214	13720	50094
215	13779	50013
216	13840	49942
217	13900	49864
218	13964	49801
219	14036	49764
220	14093	49676
221	14159	49623
222	14221	49552
223	14283	49480
224	14357	49452
225	14422	49393
226	14486	49330
227	14551	49270
228	14619	49219
229	14693	49189
230	14760	49136
231	14834	49107
232	14896	49035
233	14960	48974
234	15031	48931
235	15108	48911
236	15175	48854
237	15246	48813
238	15312	48756
239	15376	48690
240	15440	48626
241	15499	48546
242	15561	48477
243	15626	48415
244	15695	48367
245	15755	48290
246	15815	48213
247	15894	48197
248	15955	48124
249	16015	48045
250	16075	47969
251	16141	47912
252	16213	47872
253	16274	47797
254	16335	47725
255	16403	47671
256	16468	47612
257	16530	47541
258	16589	47461
259	16652	47394
260	16717	47334
261	16786	47284
262	16856	47237
263	16921	47175
264	16989	47121
265	17068	47097
266	17145	47070
267	17212	47012
268	17285	46972
269	17353	46917
270	17444	46926
271	17518	46887
272	17586	46832
273	17646	46757
274	17710	46692
275	17775	46627
276	17850	46590
277	17919	46539
278	17980	46466
279	18043	46398
280	18100	46313
281	18163	46245
282	18220	46162
283	18283	46096
284	18354	46048
285	18423	45994
286	18490	45937
287	18554	45871
288	18618	45804
289	18681	45738
290	18738	45655
291	18796	45574
292	18859	45507
293	18919	45433
294	18979	45357
295	19043	45292
296	19101	45212
297	19167	45153
298	19235	45096
299	19317	45073
300	19391	45032
301	19460	44977
302	19529	44923
303	19588	44847
304	19655	44789
305	19723	44731
306	19787	44667
307	19860	44622
308	19925	44558
309	20021	44564
310	20105	44541
311	20178	44496
312	20254	44456
313	20333	44423
314	20408	44380
315	20485	44341
316	20555	44287
317	20624	44231
318	20700	44190
319	20767	44131
320	20839	44080
321	20901	44009
322	20964	43941
323	21030	43878
324	21089	43800
325	21154	43736
326	21215	43663
327	21273	43585
328	21338	43520
329	21406	43461
330	21475	43404
331	21532	43325
332	21592	43249
333	21657	43186
334	21727	43131
335	21790	43063
336	21855	42997
337	21918	42928
338	21981	42860
339	22045	42794
340	22109	42726
341	22174	42664
342	22237	42595
343	22300	42525
344	22366	42463
345	22424	42386
346	22483	42311
347	22546	42242
348	22607	42169
349	22673	42108
350	22734	42036
351	22799	41972
352	22865	41909
353	22929	41842
354	22995	41779
355	23061	41718
356	23120	41642
357	23187	41581
358	23282	41570
359	23359	41527
360	23424	41463
361	23490	41400
362	23560	41343
363	23622	41274
364	23689	41212
365	23749	41139
366	23809	41066
367	23872	40997
368	23932	40924
369	23995	40857
370	24054	40783
371	24128	40732
372	24200	40680
373	24270	40624
374	24341	40569
375	24418	40524
376	24490	40471
377	24557	40408
378	24618	40338
379	24681	40269
380	24739	40194
381	24803	40126
382	24862	40052
383	24924	39983
384	24984	39910
385	25042	39834
386	25102	39761
387	25162	39688
388	25222	39616
389	25281	39542
390	25347	39479
391	25407	39408
392	25473	39345
393	25555	39305
394	25625	39249
395	25694	39190
396	25771	39144
397	25839	39083
398	25915	39036
399	25990	38985
400	26060	38927
401	26127	38866
402	26196	38807
403	26262	38743
404	26339	38696
405	26409	38638
406	26476	38576
407	26554	38529
408	26627	38476
409	26708	38433
410	26798	38405
411	26888	38375
412	26959	38317
413	27032	38263
414	27115	38222
415	27188	38167
416	27255	38104
417	27334	38059
418	27427	38031
419	27518	38001
420	27593	37949
421	27668	37896
422	27738	37836
423	27807	37776
424	27880	37720
425	27951	37662
426	28023	37604
427	28094	37547
428	28166	37489
429	28247	37444
430	28321	37389
431	28391	37329
432	28456	37262
433	28526	37202
434	28600	37147
435	28666	37082
436	28731	37015
437	28794	36946
438	28858	36878
439	28919	36807
440	28984	36739
441	29046	36668
442	29107	36597
443	29174	36534
444	29236	36463
445	29305	36401
446	29370	36335
447	29444	36280
448	29523	36230
449	29593	36169
450	29666	36112
451	29765	36087
452	29847	36040
453	29909	35970
454	29973	35901
455	30039	35836
456	30098	35762
457	30159	35691
458	30222	35622
459	30281	35548
460	30345	35480
461	30411	35414
462	30479	35351
463	30555	35296
464	30624	35234
465	30686	35164
466	30754	35100
467	30820	35035
468	30889	34973
469	30956	34908
470	31021	34841
471	31086	34774
472	31154	34710
473	31217	34642
474	31286	34580
475	31356	34518
476	31421	34451
477	31480	34378
478	31542	34308
479	31611	34245
480	31676	34178
481	31739	34109
482	31804	34043
483	31867	33974
484	31934	33910
485	31997	33841
486	32060	33772
487	32129	33709
488	32191	33639
489	32253	33570
490	32316	33501
491	32378	33431
492	32437	33358
493	32497	33286
494	32555	33213
495	32614	33140
496	32674	33069
497	32734	32997
498	32794	32925
499	32854	32854
500	32913	32781
501	32973	32710
502	33032	32638
503	33093	32568
504	33157	32501
505	33224	32436
506	33289	32370
507	33355	32305
508	33419	32237
509	33486	32173
510	33555	32110
511	33617	32042
512	33682	31975
513	33750	31912
514	33814	31844
515	33877	31776
516	33938	31706
517	34000	31637
518	34061	31567
519	34123	31498
520	34182	31427
521	34241	31355
522	34300	31283
523	34362	31215
524	34423	31144
525	34481	31072
526	34545	31005
527	34603	30933
528	34666	30865
529	34759	30824
530	34819	30754
531	34881	30685
532	34944	30617
533	35001	30544
534	35063	30475
535	35122	30404
536	35184	30336
537	35255	30275
538	35328	30216
539	35392	30148
540	35455	30081
541	35520	30015
542	35584	29948
543	35647	29881
544	35711	29813
545	35774	29746
546	35837	29678
547	35899	29610
548	35962	29542
549	36035	29483
550	36117	29431
551	36188	29370
552	36286	29330
553	36364	29275
554	36441	29218
555	36533	29173
556	36598	29107
557	36662	29040
558	36729	28976
559	36788	28904
560	36858	28843
561	36922	28775
562	36985	28708
563	37054	28644
564	37121	28580
565	37185	28513
566	37253	28448
567	37324	28387
568	37395	28326
569	37489	28281
570	37557	28217
571	37621	28150
572	37689	28086
573	37752	28018
574	37818	27952
575	37886	27888
576	37943	27816
577	38007	27749
578	38069	27680
579	38136	27616
580	38200	27549
581	38266	27483
582	38337	27421
583	38402	27355
584	38469	27290
585	38533	27223
586	38593	27153
587	38656	27085
588	38718	27017
589	38782	26950
590	38847	26884
591	38911	26817
592	38980	26753
593	39044	26687
594	39113	26623
595	39177	26556
596	39245	26492
597	39316	26429
598	39381	26363
599	39442	26295
600	39507	26228
601	39567	26159
602	39629	26091
603	39696	26026
604	39760	25959
605	39828	25894
606	39893	25829
607	39959	25763
608	40027	25698
609	40093	25633
610	40159	25567
611	40226	25502
612	40293	25438
613	40360	25373
614	40424	25306
615	40493	25242
616	40557	25176
617	40617	25106
618	40687	25043
619	40752	24977
620	40819	24912
621	40906	24859
622	40975	24795
623	41046	24733
624	41119	24671
625	41190	24608
626	41255	24542
627	41316	24474
628	41375	24404
629	41440	24337
630	41512	24275
631	41581	24212
632	41651	24148
633	41726	24088
634	41826	24042
635	41894	23977
636	41967	23915
637	42045	23856
638	42115	23792
639	42187	23730
640	42250	23663
641	42316	23596
642	42379	23529
643	42445	23463
644	42508	23396
645	42576	23331
646	42642	23265
647	42704	23197
648	42766	23129
649	42831	23063
650	42895	22996
651	42952	22925
652	43016	22858
653	43082	22792
654	43152	22729
655	43233	22671
656	43295	22603
657	43363	22538
658	43432	22473
659	43507	22412
660	43574	22347
661	43639	22281
662	43706	22215
663	43769	22148
664	43831	22080
665	43892	22012
666	44004	21969
667	44097	21916
668	44190	21864
669	44303	21821
670	44417	21778
671	44522	21731
672	44614	21677
673	44699	21620
674	44798	21569
675	44874	21507
676	44960	21450
677	45088	21413
678	45205	21371
679	45327	21330
680	45443	21287
681	45542	21235
682	45645	21185
683	45746	21134
684	45847	21082
685	45954	21034
686	46060	20985
687	46171	20938
688	46291	20895
689	46390	20842
690	46493	20790
691	46604	20743
692	46715	20695
693	46813	20641
694	46902	20583
695	46994	20526
696	47109	20479
697	47233	20436
698	47421	20420
699	47544	20376
700	47659	20328
701	47775	20280
702	47893	20233
703	48018	20189
704	48135	20141
705	48256	20095
706	48366	20044
707	48475	19992
708	48584	19940
709	48711	19896
710	48855	19858
711	48982	19813
712	49085	19758
713	49173	19696
714	49247	19630
715	49316	19561
716	49425	19508
717	49527	19452
718	49620	19392
719	49697	19326
720	49809	19274
721	49881	19206
722	49962	19141
723	50036	19074
724	50112	19008
725	50185	18940
726	50266	18876
727	50335	18806
728	50432	18748
729	50520	18685
730	50603	18621
731	50683	18556
732	50763	18491
733	50843	18425
734	50923	18360
735	51023	18301
736	51144	18251
737	51261	18198
738	51353	18137
739	51431	18070
740	51513	18005
741	51602	17942
742	51681	17876
743	51757	17809
744	51835	17742
745	51911	17675
746	51985	17607
747	52064	17540
748	52154	17477
749	52233	17411
750	52306	17342
751	52367	17270
752	52430	17198
753	52490	17125
754	52553	17053
755	52619	16982
756	52690	16913
757	52760	16844
758	52854	16782
759	52927	16714
760	52997	16644
761	53064	16573
762	53142	16507
763	53211	16437
764	53292	16370
765	53371	16304
766	53459	16239
767	53529	16170
768	53602	16101
769	53674	16032
770	53743	15962
771	53811	15892
772	53886	15824
773	53950	15752
774	54023	15684
775	54088	15613
776	54158	15543
777	54223	15472
778	54290	15402
779	54364	15333
780	54447	15267
781	54533	15202
782	54617	15136
783	54715	15074
784	54821	15014
785	54933	14956
786	55110	14915
787	55192	14848
788	55261	14778
789	55320	14705
790	55382	14633
791	55446	14561
792	55509	14489
793	55571	14417
794	55638	14346
795	55703	14275
796	55767	14204
797	55830	14132
798	55894	14061
799	55960	13990
800	56023	13918
801	56093	13848
802	56169	13780
803	56243	13711
804	56311	13640
805	56383	13571
806	56455	13501
807	56526	13432
808	56599	13362
809	56667	13292
810	56737	13222
811	56805	13151
812	56893	13086
813	56976	13019
814	57076	12955
815	57163	12889
816	57253	12824
817	57333	12756
818	57419	12689
819	57524	12627
820	57612	12561
821	57708	12496
822	57816	12434
823	57889	12364
824	57954	12293
825	58024	12223
826	58093	12152
827	58158	12081
828	58239	12013
829	58300	11941
830	58370	11870
831	58438	11800
832	58501	11728
833	58566	11657
834	58633	11586
835	58697	11514
836	58775	11446
837	58859	11378
838	58927	11307
839	58993	11236
840	59069	11167
841	59142	11098
842	59225	11030
843	59297	10960
844	59372	10890
845	59435	10819
846	59498	10747
847	59560	10675
848	59641	10607
849	59716	10538
850	59786	10467
851	59853	10397
852	59921	10326
853	59993	10256
854	60063	10186
855	60131	10115
856	60201	10045
857	60272	9975
858	60347	9905
859	60431	9837
860	60545	9774
861	60617	9704
862	60687	9634
863	60758	9563
864	60830	9493
865	60892	9422
866	60956	9350
867	61025	9280
868	61094	9209
869	61165	9139
870	61233	9069
871	61299	8998
872	61382	8929
873	61460	8860
874	61531	8790
875	61606	8720
876	61680	8650
877	61753	8580
878	61825	8510
879	61902	8441
880	61974	8371
881	62060	8302
882	62155	8235
883	62237	8166
884	62314	8097
885	62387	8027
886	62459	7957
887	62534	7887
888	62643	7821
889	62738	7754
890	62838	7687
