iter	Passed	Remaining
0	169	169151
1	176	88007
2	184	61425
3	192	47953
4	203	40519
5	212	35242
6	222	31546
7	234	29022
8	243	26760
9	260	25831
10	269	24238
11	280	23102
12	294	22396
13	305	21524
14	314	20651
15	324	19933
16	333	19287
17	341	18639
18	353	18274
19	363	17787
20	373	17396
21	381	16959
22	396	16852
23	405	16495
24	411	16048
25	423	15870
26	430	15531
27	438	15206
28	443	14865
29	453	14662
30	459	14370
31	469	14216
32	477	14006
33	487	13858
34	496	13702
35	505	13533
36	514	13385
37	535	13550
38	546	13474
39	557	13381
40	566	13252
41	576	13153
42	588	13108
43	599	13025
44	623	13225
45	631	13091
46	640	12996
47	652	12934
48	659	12798
49	674	12814
50	684	12730
51	695	12684
52	710	12695
53	724	12690
54	732	12584
55	742	12515
56	751	12428
57	759	12341
58	772	12328
59	785	12307
60	793	12222
61	804	12171
62	813	12102
63	822	12027
64	849	12215
65	861	12188
66	871	12139
67	880	12068
68	891	12022
69	903	12008
70	913	11947
71	923	11902
72	937	11901
73	944	11825
74	954	11776
75	969	11792
76	982	11771
77	990	11713
78	1002	11683
79	1010	11621
80	1020	11575
81	1031	11550
82	1042	11520
83	1051	11466
84	1063	11451
85	1074	11419
86	1097	11512
87	1109	11494
88	1119	11460
89	1132	11453
90	1145	11444
91	1164	11494
92	1177	11479
93	1193	11502
94	1206	11490
95	1215	11447
96	1228	11436
97	1238	11396
98	1249	11368
99	1258	11325
100	1269	11296
101	1278	11257
102	1291	11243
103	1301	11216
104	1311	11182
105	1324	11171
106	1334	11134
107	1343	11099
108	1364	11151
109	1373	11109
110	1383	11081
111	1394	11053
112	1403	11019
113	1413	10984
114	1424	10965
115	1434	10934
116	1445	10905
117	1454	10874
118	1467	10861
119	1482	10868
120	1494	10859
121	1507	10852
122	1522	10852
123	1531	10820
124	1541	10787
125	1561	10834
126	1574	10821
127	1583	10789
128	1597	10785
129	1607	10758
130	1620	10747
131	1630	10721
132	1642	10705
133	1653	10683
134	1665	10670
135	1674	10635
136	1686	10626
137	1695	10591
138	1710	10592
139	1725	10597
140	1733	10559
141	1746	10552
142	1773	10627
143	1781	10587
144	1790	10558
145	1800	10529
146	1809	10498
147	1820	10480
148	1828	10443
149	1836	10406
150	1844	10372
151	1854	10345
152	1864	10321
153	1876	10308
154	1919	10463
155	1929	10440
